読み,単語,品詞,コメント
てら,テラ,地名,
ろんめん,龍門,地名,
ゆーめん,玉門,地名,
いぇらぐ,イェラグ,地名,
ひーら,雪境,地名,
うるさす,ウルサス,地名,
ちぇるのぼーぐ,チェルノボーグ,地名,
りたーにあ,リターニア,地名,
えんごく,炎国,地名,
きょくとう,極東,地名,
ゔぃくとりあ,ヴィクトリア,地名,
ろんでぃにうむ,ロンディニウム,地名,
さるごん,サルゴン,地名,
かじみえーしゅ,カジミエーシュ,地名,
らてらーの,ラテラーノ,地名,
いべりあ,イベリア,地名,
くるびあ,クルビア,地名,
しえすた,シエスタ,地名,
さーみ,サーミ,地名,
しらくーざ,シラクーザ,地名,
れむびりとん,レム・ビリトン,地名,
れむ・びりとん,レム・ビリトン,地名,
みのす,ミノス,地名,
ぼりばる,ボリバル,地名,
かずでる,カズデル,地名,
うぉるもんど,ウォルモンド,地名,
うぉるしーに,ウォルシーニ,地名,
さるゔぃえんと,サルヴィエント,地名,
どっそれす,ドッソレス,地名,
ぜるうぇるつぁ,ゼルウェルツァ,地名,
がりあ,ガリア,地名,
しょうしょく,尚蜀,地名,
